Statistikdatum,Region,Cases
2020-02-14,Gotland,0
2020-02-15,Gotland,0
2020-02-16,Gotland,0
2020-02-17,Gotland,0
2020-02-18,Gotland,0
2020-02-19,Gotland,0
2020-02-20,Gotland,0
2020-02-21,Gotland,0
2020-02-22,Gotland,0
2020-02-23,Gotland,0
2020-02-24,Gotland,0
2020-02-25,Gotland,0
2020-02-26,Gotland,0
2020-02-27,Gotland,0
2020-02-28,Gotland,0
2020-02-29,Gotland,0
2020-03-01,Gotland,0
2020-03-02,Gotland,0
2020-03-03,Gotland,0
2020-03-04,Gotland,0
2020-03-05,Gotland,0
2020-03-06,Gotland,0
2020-03-07,Gotland,0
2020-03-08,Gotland,0
2020-03-09,Gotland,0
2020-03-10,Gotland,0
2020-03-11,Gotland,2
2020-03-12,Gotland,0
2020-03-13,Gotland,0
2020-03-14,Gotland,0
2020-03-15,Gotland,0
2020-03-16,Gotland,0
2020-03-17,Gotland,1
2020-03-18,Gotland,1
2020-03-19,Gotland,1
2020-03-20,Gotland,0
2020-03-21,Gotland,0
2020-03-22,Gotland,0
2020-03-23,Gotland,0
2020-03-24,Gotland,0
2020-03-25,Gotland,1
2020-03-26,Gotland,4
2020-03-27,Gotland,1
2020-03-28,Gotland,0
2020-03-29,Gotland,0
2020-03-30,Gotland,0
2020-03-31,Gotland,1
2020-04-01,Gotland,0
2020-04-02,Gotland,1
2020-04-03,Gotland,1
2020-04-04,Gotland,0
2020-04-05,Gotland,0
2020-04-06,Gotland,0
2020-04-07,Gotland,0
2020-04-08,Gotland,1
2020-04-09,Gotland,1
2020-04-10,Gotland,0
2020-04-11,Gotland,0
2020-04-12,Gotland,0
2020-04-13,Gotland,0
2020-04-14,Gotland,0
2020-04-15,Gotland,2
2020-04-16,Gotland,1
2020-04-17,Gotland,0
2020-04-18,Gotland,0
2020-04-19,Gotland,0
2020-04-20,Gotland,1
2020-04-21,Gotland,0
2020-04-22,Gotland,3
2020-04-23,Gotland,2
2020-04-24,Gotland,1
2020-04-25,Gotland,2
2020-04-26,Gotland,3
2020-04-27,Gotland,4
2020-04-28,Gotland,4
2020-04-29,Gotland,7
2020-04-30,Gotland,3
2020-05-01,Gotland,1
2020-05-02,Gotland,2
2020-05-03,Gotland,1
2020-05-04,Gotland,6
2020-05-05,Gotland,0
2020-05-06,Gotland,0
2020-05-07,Gotland,2
2020-05-08,Gotland,1
2020-05-09,Gotland,1
2020-05-10,Gotland,0
2020-05-11,Gotland,0
2020-05-12,Gotland,2
2020-05-13,Gotland,0
2020-05-14,Gotland,0
2020-05-15,Gotland,0
2020-05-16,Gotland,1
2020-05-17,Gotland,0
2020-05-18,Gotland,0
2020-05-19,Gotland,1
2020-05-20,Gotland,2
2020-05-21,Gotland,0
2020-05-22,Gotland,0
2020-05-23,Gotland,1
2020-05-24,Gotland,1
2020-05-25,Gotland,0
2020-05-26,Gotland,0
2020-05-27,Gotland,0
2020-05-28,Gotland,2
2020-05-29,Gotland,1
2020-05-30,Gotland,8
2020-05-31,Gotland,0
2020-06-01,Gotland,0
2020-06-02,Gotland,5
2020-06-03,Gotland,1
2020-06-04,Gotland,1
2020-06-05,Gotland,1
2020-06-06,Gotland,2
2020-06-07,Gotland,0
2020-06-08,Gotland,0
2020-06-09,Gotland,5
2020-06-10,Gotland,4
2020-06-11,Gotland,5
2020-06-12,Gotland,6
2020-06-13,Gotland,1
2020-06-14,Gotland,0
2020-06-15,Gotland,5
2020-06-16,Gotland,0
2020-06-17,Gotland,5
2020-06-18,Gotland,2
2020-06-19,Gotland,1
2020-06-20,Gotland,3
2020-06-21,Gotland,4
2020-06-22,Gotland,4
2020-06-23,Gotland,8
2020-06-24,Gotland,3
2020-06-25,Gotland,1
2020-06-26,Gotland,10
2020-06-27,Gotland,1
2020-06-28,Gotland,0
2020-06-29,Gotland,2
2020-06-30,Gotland,2
2020-07-01,Gotland,0
2020-07-02,Gotland,0
2020-07-03,Gotland,0
2020-07-04,Gotland,2
2020-07-05,Gotland,7
2020-07-06,Gotland,3
2020-07-07,Gotland,0
2020-07-08,Gotland,4
2020-07-09,Gotland,3
2020-07-10,Gotland,1
2020-07-11,Gotland,1
2020-07-12,Gotland,2
2020-07-13,Gotland,1
2020-07-14,Gotland,1
2020-07-15,Gotland,0
2020-07-16,Gotland,7
2020-07-17,Gotland,4
2020-07-18,Gotland,5
2020-07-19,Gotland,1
2020-07-20,Gotland,0
2020-07-21,Gotland,4
2020-07-22,Gotland,7
2020-07-23,Gotland,2
2020-07-24,Gotland,4
2020-07-25,Gotland,2
2020-07-26,Gotland,5
2020-07-27,Gotland,0
2020-07-28,Gotland,0
2020-07-29,Gotland,8
2020-07-30,Gotland,11
2020-07-31,Gotland,1
2020-08-01,Gotland,0
2020-08-02,Gotland,1
2020-08-03,Gotland,0
2020-08-04,Gotland,5
2020-08-05,Gotland,12
2020-08-06,Gotland,2
2020-08-07,Gotland,5
2020-08-08,Gotland,0
2020-08-09,Gotland,10
2020-08-10,Gotland,2
2020-08-11,Gotland,3
2020-08-12,Gotland,3
2020-08-13,Gotland,4
2020-08-14,Gotland,4
2020-08-15,Gotland,6
2020-08-16,Gotland,0
2020-08-17,Gotland,1
2020-08-18,Gotland,2
2020-08-19,Gotland,1
2020-08-20,Gotland,1
2020-08-21,Gotland,2
2020-08-22,Gotland,0
2020-08-23,Gotland,1
2020-08-24,Gotland,0
2020-08-25,Gotland,0
2020-08-26,Gotland,0
2020-08-27,Gotland,3
2020-08-28,Gotland,0
2020-08-29,Gotland,0
2020-08-30,Gotland,0
2020-08-31,Gotland,0
2020-09-01,Gotland,0
2020-09-02,Gotland,0
2020-09-03,Gotland,0
2020-09-04,Gotland,1
2020-09-05,Gotland,0
2020-09-06,Gotland,0
2020-09-07,Gotland,0
2020-09-08,Gotland,0
2020-09-09,Gotland,1
2020-09-10,Gotland,2
2020-09-11,Gotland,0
2020-09-12,Gotland,0
2020-09-13,Gotland,0
2020-09-14,Gotland,1
2020-09-15,Gotland,0
2020-09-16,Gotland,1
2020-09-17,Gotland,0
2020-09-18,Gotland,2
2020-09-19,Gotland,1
2020-09-20,Gotland,0
2020-09-21,Gotland,0
2020-09-22,Gotland,0
2020-09-23,Gotland,0
2020-09-24,Gotland,0
2020-09-25,Gotland,2
2020-09-26,Gotland,0
2020-09-27,Gotland,1
2020-09-28,Gotland,0
2020-09-29,Gotland,0
2020-09-30,Gotland,7
2020-10-01,Gotland,3
2020-10-02,Gotland,3
2020-10-03,Gotland,1
2020-10-04,Gotland,2
2020-10-05,Gotland,1
2020-10-06,Gotland,2
2020-10-07,Gotland,1
2020-10-08,Gotland,2
2020-10-09,Gotland,4
2020-10-10,Gotland,5
2020-10-11,Gotland,0
2020-10-12,Gotland,5
2020-10-13,Gotland,2
2020-10-14,Gotland,0
2020-02-05,Gävleborg,0
2020-02-06,Gävleborg,0
2020-02-07,Gävleborg,0
2020-02-08,Gävleborg,0
2020-02-09,Gävleborg,0
2020-02-10,Gävleborg,0
2020-02-11,Gävleborg,0
2020-02-12,Gävleborg,0
2020-02-13,Gävleborg,0
2020-02-14,Gävleborg,0
2020-02-15,Gävleborg,0
2020-02-16,Gävleborg,0
2020-02-17,Gävleborg,0
2020-02-18,Gävleborg,0
2020-02-19,Gävleborg,0
2020-02-20,Gävleborg,0
2020-02-21,Gävleborg,0
2020-02-22,Gävleborg,0
2020-02-23,Gävleborg,0
2020-02-24,Gävleborg,0
2020-02-25,Gävleborg,0
2020-02-26,Gävleborg,0
2020-02-27,Gävleborg,0
2020-02-28,Gävleborg,0
2020-02-29,Gävleborg,0
2020-03-01,Gävleborg,0
2020-03-02,Gävleborg,0
2020-03-03,Gävleborg,0
2020-03-04,Gävleborg,0
2020-03-05,Gävleborg,0
2020-03-06,Gävleborg,2
2020-03-07,Gävleborg,0
2020-03-08,Gävleborg,0
2020-03-09,Gävleborg,0
2020-03-10,Gävleborg,0
2020-03-11,Gävleborg,1
2020-03-12,Gävleborg,2
2020-03-13,Gävleborg,1
2020-03-14,Gävleborg,1
2020-03-15,Gävleborg,0
2020-03-16,Gävleborg,2
2020-03-17,Gävleborg,4
2020-03-18,Gävleborg,2
2020-03-19,Gävleborg,0
2020-03-20,Gävleborg,5
2020-03-21,Gävleborg,4
2020-03-22,Gävleborg,0
2020-03-23,Gävleborg,3
2020-03-24,Gävleborg,5
2020-03-25,Gävleborg,7
2020-03-26,Gävleborg,5
2020-03-27,Gävleborg,9
2020-03-28,Gävleborg,12
2020-03-29,Gävleborg,11
2020-03-30,Gävleborg,10
2020-03-31,Gävleborg,14
2020-04-01,Gävleborg,30
2020-04-02,Gävleborg,17
2020-04-03,Gävleborg,16
2020-04-04,Gävleborg,12
2020-04-05,Gävleborg,7
2020-04-06,Gävleborg,12
2020-04-07,Gävleborg,16
2020-04-08,Gävleborg,17
2020-04-09,Gävleborg,18
2020-04-10,Gävleborg,18
2020-04-11,Gävleborg,10
2020-04-12,Gävleborg,17
2020-04-13,Gävleborg,11
2020-04-14,Gävleborg,11
2020-04-15,Gävleborg,17
2020-04-16,Gävleborg,21
2020-04-17,Gävleborg,24
2020-04-18,Gävleborg,29
2020-04-19,Gävleborg,8
2020-04-20,Gävleborg,4
2020-04-21,Gävleborg,22
2020-04-22,Gävleborg,22
2020-04-23,Gävleborg,13
2020-04-24,Gävleborg,19
2020-04-25,Gävleborg,23
2020-04-26,Gävleborg,6
2020-04-27,Gävleborg,11
2020-04-28,Gävleborg,16
2020-04-29,Gävleborg,21
2020-04-30,Gävleborg,21
2020-05-01,Gävleborg,21
2020-05-02,Gävleborg,14
2020-05-03,Gävleborg,8
