data,codice_regione,denominazione_regione,nuovi_positivi
2020-03-13 17:00:00,21,P.A. Bolzano,21
2020-03-13 17:00:00,18,Calabria,5
2020-03-13 17:00:00,15,Campania,41
2020-03-13 17:00:00,8,Emilia-Romagna,316
2020-03-13 17:00:00,6,Friuli Venezia Giulia,90
2020-03-13 17:00:00,12,Lazio,77
2020-03-13 17:00:00,7,Liguria,71
2020-03-13 17:00:00,3,Lombardia,1095
2020-03-13 17:00:00,11,Marche,133
2020-03-13 17:00:00,14,Molise,1
2020-03-13 17:00:00,1,Piemonte,260
2020-03-13 17:00:00,16,Puglia,25
2020-03-13 17:00:00,20,Sardegna,4
2020-03-13 17:00:00,19,Sicilia,15
2020-03-13 17:00:00,9,Toscana,106
2020-03-13 17:00:00,22,P.A. Trento,56
2020-03-13 17:00:00,10,Umbria,12
2020-03-13 17:00:00,2,Valle d'Aosta,1
2020-03-13 17:00:00,5,Veneto,211
2020-03-14 17:00:00,13,Abruzzo,23
2020-03-14 17:00:00,17,Basilicata,0
2020-03-14 17:00:00,21,P.A. Bolzano,48
2020-03-14 17:00:00,18,Calabria,22
2020-03-14 17:00:00,15,Campania,52
2020-03-14 17:00:00,8,Emilia-Romagna,381
2020-03-14 17:00:00,6,Friuli Venezia Giulia,44
2020-03-14 17:00:00,12,Lazio,80
2020-03-14 17:00:00,7,Liguria,118
2020-03-14 17:00:00,3,Lombardia,1865
2020-03-14 17:00:00,11,Marche,174
2020-03-14 17:00:00,14,Molise,0
2020-03-14 17:00:00,1,Piemonte,33
2020-03-14 17:00:00,16,Puglia,37
2020-03-14 17:00:00,20,Sardegna,4
2020-03-14 17:00:00,19,Sicilia,26
2020-03-14 17:00:00,9,Toscana,160
2020-03-14 17:00:00,22,P.A. Trento,43
2020-03-14 17:00:00,10,Umbria,31
2020-03-14 17:00:00,2,Valle d'Aosta,14
2020-03-14 17:00:00,5,Veneto,342
2020-03-15 17:00:00,13,Abruzzo,25
2020-03-15 17:00:00,17,Basilicata,1
2020-03-15 17:00:00,21,P.A. Bolzano,31
2020-03-15 17:00:00,18,Calabria,8
2020-03-15 17:00:00,15,Campania,61
2020-03-15 17:00:00,8,Emilia-Romagna,449
2020-03-15 17:00:00,6,Friuli Venezia Giulia,46
2020-03-15 17:00:00,12,Lazio,79
2020-03-15 17:00:00,7,Liguria,96
2020-03-15 17:00:00,3,Lombardia,1587
2020-03-15 17:00:00,11,Marche,234
2020-03-15 17:00:00,14,Molise,0
2020-03-15 17:00:00,1,Piemonte,238
2020-03-15 17:00:00,16,Puglia,64
2020-03-15 17:00:00,20,Sardegna,30
2020-03-15 17:00:00,19,Sicilia,32
2020-03-15 17:00:00,9,Toscana,151
2020-03-15 17:00:00,22,P.A. Trento,172
2020-03-15 17:00:00,10,Umbria,36
2020-03-15 17:00:00,2,Valle d'Aosta,15
2020-03-15 17:00:00,5,Veneto,235
2020-03-16 17:00:00,13,Abruzzo,39
2020-03-16 17:00:00,17,Basilicata,1
2020-03-16 17:00:00,21,P.A. Bolzano,37
2020-03-16 17:00:00,18,Calabria,21
2020-03-16 17:00:00,15,Campania,67
2020-03-16 17:00:00,8,Emilia-Romagna,429
2020-03-16 17:00:00,6,Friuli Venezia Giulia,39
2020-03-16 17:00:00,12,Lazio,87
2020-03-16 17:00:00,7,Liguria,108
2020-03-16 17:00:00,3,Lombardia,1377
2020-03-16 17:00:00,11,Marche,109
2020-03-16 17:00:00,14,Molise,4
2020-03-16 17:00:00,1,Piemonte,405
2020-03-16 17:00:00,16,Puglia,0
2020-03-16 17:00:00,20,Sardegna,30
2020-03-16 17:00:00,19,Sicilia,25
2020-03-16 17:00:00,9,Toscana,85
2020-03-16 17:00:00,22,P.A. Trento,0
2020-03-16 17:00:00,10,Umbria,21
2020-03-16 17:00:00,2,Valle d'Aosta,48
2020-03-16 17:00:00,5,Veneto,301
2020-03-17 17:00:00,13,Abruzzo,53
2020-03-17 17:00:00,17,Basilicata,8
2020-03-17 17:00:00,21,P.A. Bolzano,50
2020-03-17 17:00:00,18,Calabria,25
2020-03-17 17:00:00,15,Campania,60
2020-03-17 17:00:00,8,Emilia-Romagna,409
2020-03-17 17:00:00,6,Friuli Venezia Giulia,8
2020-03-17 17:00:00,12,Lazio,84
2020-03-17 17:00:00,7,Liguria,111
2020-03-17 17:00:00,3,Lombardia,1571
2020-03-17 17:00:00,11,Marche,129
2020-03-17 17:00:00,14,Molise,4
2020-03-17 17:00:00,1,Piemonte,381
2020-03-17 17:00:00,16,Puglia,110
2020-03-17 17:00:00,20,Sardegna,10
2020-03-17 17:00:00,19,Sicilia,24
2020-03-17 17:00:00,9,Toscana,187
2020-03-17 17:00:00,22,P.A. Trento,7
2020-03-17 17:00:00,10,Umbria,33
2020-03-17 17:00:00,2,Valle d'Aosta,31
2020-03-17 17:00:00,5,Veneto,231
2020-03-18 17:00:00,13,Abruzzo,34
2020-03-18 17:00:00,17,Basilicata,7
2020-03-18 17:00:00,21,P.A. Bolzano,85
2020-03-18 17:00:00,18,Calabria,15
2020-03-18 17:00:00,15,Campania,0
2020-03-18 17:00:00,8,Emilia-Romagna,594
2020-03-18 17:00:00,6,Friuli Venezia Giulia,68
2020-03-18 17:00:00,12,Lazio,117
2020-03-18 17:00:00,7,Liguria,109
2020-03-18 17:00:00,3,Lombardia,1493
2020-03-18 17:00:00,11,Marche,197
2020-03-18 17:00:00,14,Molise,3
2020-03-18 17:00:00,1,Piemonte,444
2020-03-18 17:00:00,16,Puglia,43
2020-03-18 17:00:00,20,Sardegna,17
2020-03-18 17:00:00,19,Sicilia,45
2020-03-18 17:00:00,9,Toscana,277
2020-03-18 17:00:00,22,P.A. Trento,70
2020-03-18 17:00:00,10,Umbria,50
2020-03-18 17:00:00,2,Valle d'Aosta,29
2020-03-18 17:00:00,5,Veneto,510
2020-03-19 17:00:00,13,Abruzzo,122
2020-03-19 17:00:00,17,Basilicata,10
2020-03-19 17:00:00,21,P.A. Bolzano,60
2020-03-19 17:00:00,18,Calabria,40
2020-03-19 17:00:00,15,Campania,192
2020-03-19 17:00:00,8,Emilia-Romagna,689
2020-03-19 17:00:00,6,Friuli Venezia Giulia,137
2020-03-19 17:00:00,12,Lazio,99
2020-03-19 17:00:00,7,Liguria,172
2020-03-19 17:00:00,3,Lombardia,2171
2020-03-19 17:00:00,11,Marche,169
2020-03-19 17:00:00,14,Molise,18
2020-03-19 17:00:00,1,Piemonte,591
2020-03-19 17:00:00,16,Puglia,95
2020-03-19 17:00:00,20,Sardegna,72
2020-03-19 17:00:00,19,Sicilia,58
2020-03-19 17:00:00,9,Toscana,152
2020-03-19 17:00:00,22,P.A. Trento,68
2020-03-19 17:00:00,10,Umbria,87
2020-03-19 17:00:00,2,Valle d'Aosta,50
2020-03-19 17:00:00,5,Veneto,270
2020-03-20 17:00:00,13,Abruzzo,64
2020-03-20 17:00:00,17,Basilicata,15
2020-03-20 17:00:00,21,P.A. Bolzano,112
2020-03-20 17:00:00,18,Calabria,38
2020-03-20 17:00:00,15,Campania,97
2020-03-20 17:00:00,8,Emilia-Romagna,754
2020-03-20 17:00:00,6,Friuli Venezia Giulia,57
2020-03-20 17:00:00,12,Lazio,185
2020-03-20 17:00:00,7,Liguria,162
2020-03-20 17:00:00,3,Lombardia,2380
2020-03-20 17:00:00,11,Marche,244
2020-03-20 17:00:00,14,Molise,4
2020-03-20 17:00:00,1,Piemonte,529
2020-03-20 17:00:00,16,Puglia,103
2020-03-20 17:00:00,20,Sardegna,87
2020-03-20 17:00:00,19,Sicilia,68
2020-03-20 17:00:00,9,Toscana,311
2020-03-20 17:00:00,22,P.A. Trento,119
2020-03-20 17:00:00,10,Umbria,61
2020-03-20 17:00:00,2,Valle d'Aosta,49
2020-03-20 17:00:00,5,Veneto,547
2020-03-21 17:00:00,13,Abruzzo,80
2020-03-21 17:00:00,17,Basilicata,14
2020-03-21 17:00:00,21,P.A. Bolzano,73
2020-03-21 17:00:00,18,Calabria,28
2020-03-21 17:00:00,15,Campania,95
2020-03-21 17:00:00,8,Emilia-Romagna,737
2020-03-21 17:00:00,6,Friuli Venezia Giulia,134
2020-03-21 17:00:00,12,Lazio,182
2020-03-21 17:00:00,7,Liguria,215
2020-03-21 17:00:00,3,Lombardia,3251
2020-03-21 17:00:00,11,Marche,172
2020-03-21 17:00:00,14,Molise,11
2020-03-21 17:00:00,1,Piemonte,291
2020-03-21 17:00:00,16,Puglia,94
2020-03-21 17:00:00,20,Sardegna,37
2020-03-21 17:00:00,19,Sicilia,82
2020-03-21 17:00:00,9,Toscana,219
2020-03-21 17:00:00,22,P.A. Trento,140
2020-03-21 17:00:00,10,Umbria,67
2020-03-21 17:00:00,2,Valle d'Aosta,49
2020-03-21 17:00:00,5,Veneto,586
2020-03-22 17:00:00,13,Abruzzo,58
2020-03-22 17:00:00,17,Basilicata,15
2020-03-22 17:00:00,21,P.A. Bolzano,57
2020-03-22 17:00:00,18,Calabria,38
2020-03-22 17:00:00,15,Campania,92
2020-03-22 17:00:00,8,Emilia-Romagna,850
2020-03-22 17:00:00,6,Friuli Venezia Giulia,84
2020-03-22 17:00:00,12,Lazio,193
2020-03-22 17:00:00,7,Liguria,229
2020-03-22 17:00:00,3,Lombardia,1691
2020-03-22 17:00:00,11,Marche,268
2020-03-22 17:00:00,14,Molise,5
2020-03-22 17:00:00,1,Piemonte,668
2020-03-22 17:00:00,16,Puglia,111
2020-03-22 17:00:00,20,Sardegna,9
2020-03-22 17:00:00,19,Sicilia,140
2020-03-22 17:00:00,9,Toscana,265
2020-03-22 17:00:00,22,P.A. Trento,172
2020-03-22 17:00:00,10,Umbria,59
2020-03-22 17:00:00,2,Valle d'Aosta,51
2020-03-22 17:00:00,5,Veneto,505
